grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,36.7138671875,22.685546875,38.771484375,282.30426,0.5462782,0.17540213,4.922536,0.36927095,0.128328,590.6512096774262,0.364659110880924,0.048586199908412536,0.17437048546443726
A,21.806640625,19.0703125,35.71875,249.94965,0.5577064,0.14509805,4.3610506,0.34575614,0.100125104,512.5413306451652,0.22826140497322345,0.06707607053990124,0.22045967267941136
A,18.2060546875,19.15234375,36.3486328125,239.43604,0.5770589,0.14263175,4.1839485,0.36138216,0.09634907,448.00302419355063,0.5137415609742971,0.11139683060871655,0.32339128325779487
A,26.8349609375,20.6611328125,37.376953125,260.4599,0.5474489,0.15359989,4.5471926,0.35811758,0.11094517,522.3901209677474,0.2923822331106082,0.07929502380318644,0.25022468561234157
A,59.8203125,34.3193359375,51.8701171875,304.8038,0.5155412,0.25232077,5.3202,0.35360482,0.19086245,683.8790322580745,0.528917142287305,0.0300481019370752,0.11129343895012833
A,19.9638671875,20.7802734375,40.0751953125,240.27438,0.5649625,0.15715763,4.1955976,0.3417387,0.1056462,557.8387096774227,0.4633409803954259,0.1179198521825812,0.3561960407573888
A,29.1416015625,22.107421875,40.751953125,261.41742,0.5360486,0.1677007,4.561966,0.34031048,0.12026273,621.9707661290386,0.27050426114479525,0.08210931462780086,0.29023830553669755
A,63.130859375,35.4716796875,54.8759765625,305.36847,0.5186608,0.2683134,5.3304834,0.35150272,0.20062552,853.8054435483984,0.4547191920368362,0.03264168318284755,0.14186644905745893
A,29.568359375,21.474609375,38.8115234375,266.00775,0.5392487,0.16204044,4.642146,0.35039976,0.11745687,389.3911290322618,0.4496265273027997,0.0852246860122068,0.2751270802186288
A,61.8564453125,35.16796875,53.09765625,307.547,0.51073015,0.25920266,5.3681984,0.3477183,0.19623801,538.6693548387177,0.5856932390948152,0.0312500000000008,0.12674519372890666
A,85.7177734375,45.9521484375,65.7509765625,328.89832,0.485268,0.3363243,5.740812,0.32802117,0.25806653,454.320564516135,0.4506798395623294,0.03079137973649525,0.10215186579296305
A,29.015625,21.44921875,38.2294921875,265.066,0.5510095,0.16106007,4.629855,0.363038,0.115940325,432.36592741935965,0.4164234946128249,0.08004121129757642,0.2519376996667496
A,60.7294921875,34.48828125,51.4072265625,308.4923,0.5148621,0.2546186,5.3862896,0.34969908,0.19166668,567.1068548387177,0.55750846978814,0.030292296776848967,0.11244883512809943
A,83.3115234375,44.3046875,63.333984375,329.4287,0.4895335,0.3269225,5.7508974,0.33053163,0.24960811,510.13508064516765,0.365562437725336,0.03150907179050021,0.09459424786614429
A,66.55078125,36.8720703125,54.3310546875,314.04376,0.49640137,0.27238435,5.483961,0.33026832,0.20621426,402.91129032258624,0.5959444980950394,0.036016270332560114,0.13814293674471573
A,84.5166015625,44.9892578125,65.2021484375,328.2438,0.48107266,0.33155638,5.7285395,0.3241798,0.2545203,338.17540322581027,0.3822004080608786,0.03459145148543039,0.12096375404380316
