grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,87.87890625,48.5693359375,69.716796875,326.39783,0.46514183,0.34484148,5.693606,0.31512684,0.2694968,559.9616935483928,0.27802979432131086,0.03019990358658388,0.08811714006104533
A,69.8505859375,38.484375,56.1953125,318.71262,0.4863156,0.28197765,5.5645237,0.3254913,0.21507226,338.53729838710007,0.578325314511545,0.032649465203027694,0.1403128647942846
A,82.8701171875,43.6337890625,63.5859375,328.56708,0.4812967,0.3250115,5.733517,0.32320237,0.24848348,216.00100806451806,0.34690375804366386,0.03776543890106682,0.1468910323813468
A,97.8779296875,55.3291015625,75.5869140625,329.08255,0.44733116,0.38384652,5.743731,0.2916764,0.29907706,367.12500000000347,0.5039587463137408,0.030022727039991547,0.09726375435144251
A,68.6953125,37.689453125,55.615234375,317.91486,0.4899115,0.27769226,5.550062,0.32939255,0.21176472,300.444556451616,0.6209553577750133,0.032703887494976665,0.14780946812401347
A,81.623046875,43.056640625,63.15625,327.82172,0.4805218,0.32022825,5.719768,0.32403797,0.24553719,169.69657258064657,0.47808812682992974,0.037812498656272155,0.1410722335302883
A,96.5537109375,54.400390625,75.1181640625,328.55713,0.4486307,0.3787033,5.7336044,0.29445225,0.29551932,260.2661290322612,0.6219902851299157,0.03062592244145909,0.09608019168587874
A,85.0595703125,36.0537109375,53.6015625,338.39996,0.58796626,0.33356696,5.919342,0.3985513,0.22838542,195.38004032258135,0.4352608046802706,0.042774494978381095,0.174365283594711
A,81.4775390625,34.3193359375,52.6142578125,336.5303,0.59215677,0.31951976,5.884018,0.40833324,0.22014529,252.27217741935712,0.33670472228026826,0.044050227855727486,0.16603198553895687
A,74.423828125,30.1318359375,49.71875,333.14014,0.6084415,0.29185814,5.819991,0.43408543,0.20166591,260.7520161290341,0.2231772475970086,0.05362202082471163,0.19151049749951038
A,84.91015625,35.935546875,53.2841796875,338.62686,0.58751345,0.332981,5.9236755,0.39701897,0.22762078,176.11592741935556,0.43836461331995324,0.04470854205955001,0.18258022788752565
A,81.46484375,34.650390625,52.8720703125,336.45428,0.5874827,0.31947,5.8826485,0.4035635,0.22089845,244.31149193548603,0.32655554143206067,0.04707780011627368,0.18994442548285184
A,74.6103515625,30.4140625,50.0322265625,333.10632,0.60472155,0.2925896,5.8193035,0.43000808,0.20268843,227.0947580645178,0.2518832708289652,0.05931755189485896,0.22751127043488523
A,93.4609375,43.6474609375,61.521484375,338.07483,0.5597216,0.3665135,5.9123955,0.3772845,0.25964692,778.6985887096853,0.259071314971279,0.03101334690103943,0.07902063934845284
A,87.8193359375,40.2197265625,58.3427734375,336.4703,0.5706445,0.34438956,5.88191,0.39232764,0.24363638,738.1078629032327,0.2953645982150077,0.03214761838528668,0.08570811634278756
A,79.646484375,35.2177734375,55.15625,332.1535,0.5867493,0.31238896,5.801836,0.41914684,0.22224905,828.0120967742032,0.12168712600255806,0.03458410644840396,0.11035770457768261
A,93.2900390625,43.560546875,61.6943359375,337.72034,0.55824316,0.3658433,5.905855,0.3763774,0.25953585,673.287298387103,0.31032644490689054,0.031347402833601976,0.07845023525819936
A,87.9140625,40.1279296875,58.67578125,336.06177,0.57031107,0.344761,5.8743114,0.39263603,0.24407552,651.478830645168,0.3277477475411459,0.03258715700654183,0.07799189132950653
A,80.0078125,35.2802734375,55.4267578125,332.09717,0.5867936,0.31381744,5.8005695,0.4189554,0.22315668,789.7933467742008,0.1392144132944973,0.033751348876579004,0.08240536488576501
A,90.099609375,41.265625,63.4814453125,332.27582,0.56557953,0.3534199,5.803894,0.39508343,0.25470155,698.9495967742012,0.28811487825689464,0.03984087267211567,0.13724925793479498
A,83.646484375,35.5966796875,57.232421875,332.6402,0.591401,0.32810205,5.810852,0.41755527,0.23068705,498.6522177419387,0.21663108189075908,0.05614023427103194,0.21847283380829507
A,86.1533203125,37.8798828125,59.0634765625,331.8048,0.5880916,0.34597504,5.8012457,0.4039561,0.23934206,316.7489919354863,0.4440746212272074,0.06030298893724923,0.23337761747965982
A,85.6875,41.28125,61.4912109375,332.18402,0.54391545,0.3360294,5.801409,0.37633637,0.2463529,557.5635080645235,0.4039470617084203,0.0338940613476903,0.11235360256834435
A,79.7158203125,35.15234375,55.0341796875,332.74637,0.5764172,0.31261104,5.8122363,0.40383554,0.22209458,363.77923387097076,0.3447068488274431,0.04398674239772448,0.16186263309239096
A,83.0712890625,37.189453125,56.755859375,332.44165,0.58135694,0.3325674,5.8126698,0.3984752,0.23139426,330.4566532258092,0.46833224621784714,0.04517208972259747,0.15958543262847946
A,90.9482421875,41.154296875,63.6611328125,332.57056,0.5707853,0.35665977,5.809003,0.39981222,0.25590026,725.0564516129105,0.2699511805053565,0.04028476048929027,0.13737169600029253
